LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
-0.184,101.649,314.3,2.2,1.4,"2014, 8, 10",714,A,51,5.1,289.4,19.9,Pelalawan,RIAU
-0.277,101.863,310.9,3.5,1.8,"2014, 8, 10",417,T,39,5.1,288.9,46.3,Pelalawan,RIAU
0.784,102.55,311.6,1.6,1.2,"2014, 8, 11",322,T,38,5.1,292.5,16.9,Bengkalis,RIAU
1.484,101.912,314.2,1.8,1.3,"2014, 8, 11",322,T,60,5.1,294.3,23.7,Bengkalis,RIAU
-0.004,102.738,317.9,2.3,1.5,"2014, 8, 11",619,A,57,5.1,293.3,53.5,Indragiri Hilir,RIAU
-0.143,102.864,314,2.2,1.4,"2014, 8, 11",619,A,18,5.1,293.7,32,Indragiri Hilir,RIAU
-0.183,101.639,307.5,1,1,"2014, 8, 11",1544,T,55,5.1,288.3,10.6,Pelalawan,RIAU
0.75,102.1,312.8,2.5,1.5,"2014, 8, 11",619,A,53,5.1,293.3,35.7,Siak,RIAU
-0.419,102.89,324.8,1.6,1.2,"2014, 8, 12",701,A,69,5.1,297.6,34.2,Indragiri Hilir,RIAU
-0.748,102.003,319.6,2.1,1.4,"2014, 8, 12",405,T,71,5.1,291.5,45,Indragiri Hulu,RIAU
-0.746,101.985,335,2.1,1.4,"2014, 8, 12",405,T,87,5.1,291.5,108.1,Indragiri Hulu,RIAU
0.242,102.308,315.3,1.5,1.2,"2014, 8, 12",702,A,53,5.1,289.1,16.6,Pelalawan,RIAU
0.012,101.905,310.4,2,1.4,"2014, 8, 12",405,T,23,5.1,291.1,20.2,Pelalawan,RIAU
0.057,101.858,312.4,2,1.4,"2014, 8, 12",405,T,30,5.1,292.2,22.6,Pelalawan,RIAU
0.174,102.311,316.7,2.1,1.4,"2014, 8, 12",405,T,57,5.1,290.7,31.4,Pelalawan,RIAU
0.289,102.514,316.1,2.2,1.4,"2014, 8, 12",405,T,65,5.1,294.3,40.5,Pelalawan,RIAU
0.352,102.792,310.9,2.3,1.5,"2014, 8, 12",405,T,44,5.1,291.7,28.3,Pelalawan,RIAU
1.088,100.977,324.5,1,1,"2014, 8, 14",650,A,72,5.1,298,16.7,Bengkalis,RIAU
1.088,100.981,316.4,1.1,1,"2014, 8, 14",353,T,52,5.1,294.9,7.9,Bengkalis,RIAU
1.097,100.982,318.9,1.1,1,"2014, 8, 14",353,T,70,5.1,296.2,11.5,Bengkalis,RIAU
1.165,101.953,314.2,1.2,1.1,"2014, 8, 14",352,T,15,5.1,297,11.8,Bengkalis,RIAU
0.664,101.233,320.5,1,1,"2014, 8, 14",649,A,55,5.1,301.2,15,Kampar,RIAU
0.666,101.251,319.6,1,1,"2014, 8, 14",649,A,44,5.1,300.3,12.3,Kampar,RIAU
0.143,101.523,314.4,1.1,1.1,"2014, 8, 14",353,T,61,5.1,295.6,13.5,Kampar,RIAU
0.145,101.512,312.6,1.1,1.1,"2014, 8, 14",353,T,51,5.1,294.4,11.4,Kampar,RIAU
0.943,101.469,319.8,1.2,1.1,"2014, 8, 16",637,A,30,5.1,301.1,16.4,Bengkalis,RIAU
