LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
1.395,101.67,323.2,1,1,"2014, 4, 1",346,T,75,5.1,287.1,21.4,Bengkalis,RIAU
1.479,101.91,315.8,1,1,"2014, 4, 1",346,T,32,5.1,291.5,10.1,Bengkalis,RIAU
1.519,101.818,312.8,3.2,1.7,"2014, 4, 11",721,A,26,5.1,290.5,43.3,Bengkalis,RIAU
0.035,102.697,315.6,1.7,1.3,"2014, 4, 12",625,A,59,5.1,298,24.2,Indragiri Hulu,RIAU
-0.499,101.868,311.4,2,1.4,"2014, 4, 12",625,A,49,5.1,285.8,24,Kuantan Singingi,RIAU
1.214,100.876,311.9,2.3,1.5,"2014, 4, 12",626,A,45,5.1,292.1,24.2,Rokan Hulu,RIAU
1.154,102.282,315.8,2.7,1.6,"2014, 4, 13",411,T,41,5.1,295.6,48.4,Bengkalis,RIAU
0.85,102.729,317.8,1.7,1.3,"2014, 4, 15",359,T,61,5.1,296.6,29.8,Bengkalis,RIAU
0.852,102.714,314.9,1.7,1.3,"2014, 4, 15",359,T,53,5.1,296.2,24.1,Bengkalis,RIAU
-0.326,103.152,320.1,1.3,1.1,"2014, 4, 15",656,A,57,5.1,300.7,17,Indragiri Hilir,RIAU
-0.101,101.587,319,1.1,1,"2014, 4, 15",656,A,38,5.1,293.4,9.2,Pelalawan,RIAU
0.301,101.711,317.1,1.5,1.2,"2014, 4, 15",359,T,28,5.1,297.3,17.5,Siak,RIAU
0.757,102.105,313.5,1.5,1.2,"2014, 4, 15",359,T,45,5.1,294.9,15.7,Siak,RIAU
1.02,102.021,321,1,1,"2014, 4, 17",644,A,43,5.1,299.7,13.3,Bengkalis,RIAU
1.168,101.958,323.2,1,1,"2014, 4, 17",346,T,19,5.1,299.8,19,Bengkalis,RIAU
1.51,101.831,319.9,1,1,"2014, 4, 17",346,T,36,5.1,296.5,13.3,Bengkalis,RIAU
