LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
0.982,101.493,324,1.8,1.3,"2014, 2, 1",404,T,72,5.1,279.7,50,Bengkalis,RIAU
0.98,101.483,313.2,1.8,1.3,"2014, 2, 1",404,T,23,5.1,279.4,24.5,Bengkalis,RIAU
0.992,101.485,319.5,1.8,1.3,"2014, 2, 1",404,T,67,5.1,277.7,43.5,Bengkalis,RIAU
1.029,101.554,314.8,1.8,1.3,"2014, 2, 1",404,T,36,5.1,280.2,39,Bengkalis,RIAU
1.166,101.953,311.9,1.9,1.3,"2014, 2, 1",404,T,40,5.1,280.1,36.8,Bengkalis,RIAU
1.178,102.042,310.9,1.9,1.4,"2014, 2, 1",404,T,37,5.1,289.1,23,Bengkalis,RIAU
1.207,102.051,314.8,1.9,1.4,"2014, 2, 1",404,T,46,5.1,292.4,31.1,Bengkalis,RIAU
1.335,101.426,315.6,1.7,1.3,"2014, 2, 1",404,T,54,5.1,289,27.3,Bengkalis,RIAU
1.35,101.625,333,1.8,1.3,"2014, 2, 1",404,T,85,5.1,299.6,77.5,Bengkalis,RIAU
1.327,102.11,327.4,1.9,1.4,"2014, 2, 1",404,T,78,5.1,299.1,60.2,Bengkalis,RIAU
1.329,102.093,318.5,1.9,1.4,"2014, 2, 1",404,T,56,5.1,300.3,27.6,Bengkalis,RIAU
1.333,102.099,324.6,1.9,1.4,"2014, 2, 1",404,T,71,5.1,299.8,44.6,Bengkalis,RIAU
1.458,102.213,327.5,2,1.4,"2014, 2, 1",404,T,81,5.1,297.4,66,Bengkalis,RIAU
1.46,102.195,318.5,2,1.4,"2014, 2, 1",404,T,56,5.1,296.6,34.1,Bengkalis,RIAU
1.47,102.214,319.8,2,1.4,"2014, 2, 1",404,T,72,5.1,296.9,42,Bengkalis,RIAU
1.502,102.166,316.9,2,1.4,"2014, 2, 1",404,T,64,5.1,298.5,30,Bengkalis,RIAU
1.504,102.149,316.2,1.9,1.4,"2014, 2, 1",404,T,65,5.1,299,27.5,Bengkalis,RIAU
1.517,102.15,327.7,1.9,1.4,"2014, 2, 1",404,T,81,5.1,300,64.2,Bengkalis,RIAU
1.508,102.155,319.1,1.9,1.4,"2014, 2, 1",404,T,26,5.1,298.8,32.8,Bengkalis,RIAU
-0.34,102.962,355.7,2.4,1.5,"2014, 2, 1",405,T,98,5.1,280.9,305.3,Indragiri Hilir,RIAU
-0.337,102.941,313.9,2.4,1.5,"2014, 2, 1",405,T,37,5.1,278.3,50.2,Indragiri Hilir,RIAU
-0.345,102.968,342.2,2.4,1.5,"2014, 2, 1",404,T,91,5.1,279.4,194,Indragiri Hilir,RIAU
-0.342,102.947,337.3,2.4,1.5,"2014, 2, 1",404,T,88,5.1,279.3,161.9,Indragiri Hilir,RIAU
-0.332,102.97,323.4,2.4,1.5,"2014, 2, 1",404,T,76,5.1,279.5,94.2,Indragiri Hilir,RIAU
-0.329,102.949,314.7,2.4,1.5,"2014, 2, 1",404,T,62,5.1,277.1,58.6,Indragiri Hilir,RIAU
1.35,101.545,314.4,1.8,1.3,"2014, 2, 1",404,T,46,5.1,297.4,20.2,Kota Dumai,RIAU
0.3,102.274,313.9,1.4,1.2,"2014, 2, 1",702,A,24,5.1,288.5,19,Pelalawan,RIAU
0.12,102.594,350.1,1.5,1.2,"2014, 2, 1",702,A,83,5.1,293.7,107.3,Pelalawan,RIAU
