LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
1.483,101.906,315.1,1,1,"2014, 1, 11",644,A,63,5.1,300,10.6,Bengkalis,RIAU
0.686,101.62,316.8,1,1,"2014, 1, 11",643,A,43,5.1,298.2,10.3,Siak,RIAU
0.697,102.128,312,1,1,"2014, 1, 11",346,T,35,5.1,296.3,9.7,Siak,RIAU
1.159,101.954,311,1,1,"2014, 1, 2",650,A,45,5.1,281.4,12.4,Bengkalis,RIAU
1.049,101.608,314.3,1,1,"2014, 1, 20",340,T,61,5.1,294.9,12.4,Bengkalis,RIAU
1.374,102.084,319.3,1,1,"2014, 1, 20",340,T,62,5.1,292.9,13.2,Bengkalis,RIAU
1.376,102.075,316.3,1,1,"2014, 1, 20",340,T,52,5.1,292.5,10.1,Bengkalis,RIAU
0.336,102.874,310.9,1,1,"2014, 1, 20",340,T,40,5.1,289,9.1,Pelalawan,RIAU
0.348,102.794,313.5,1,1,"2014, 1, 20",340,T,34,5.1,293.6,10.6,Pelalawan,RIAU
0.35,102.785,316.5,1,1,"2014, 1, 20",340,T,63,5.1,294.3,13.9,Pelalawan,RIAU
1.047,101.617,315,1,1,"2014, 1, 20",340,T,63,5.1,292.9,13.3,Siak,RIAU
1.481,101.909,315.4,1.1,1.1,"2014, 1, 25",656,A,63,5.1,299.6,12.7,Bengkalis,RIAU
0.305,103.133,335.2,1.3,1.1,"2014, 1, 25",656,A,87,5.1,300.8,42.6,Pelalawan,RIAU
-0.116,102.936,311.9,3.3,1.7,"2014, 1, 26",303,T,51,5.1,293.4,49.8,Indragiri Hilir,RIAU
-0.12,102.941,311.7,3.3,1.7,"2014, 1, 26",303,T,50,5.1,293,51.1,Indragiri Hilir,RIAU
0.315,103.152,319.4,1.8,1.3,"2014, 1, 26",1822,A,98,5.1,291.4,59.9,Pelalawan,RIAU
0.356,103.074,305.7,1.3,1.1,"2014, 1, 26",1525,T,35,5.1,292.9,10.6,Pelalawan,RIAU
0.315,103.144,316.3,1.3,1.1,"2014, 1, 26",1525,T,91,5.1,292.6,27.3,Pelalawan,RIAU
0.305,103.145,340.4,1.3,1.1,"2014, 1, 26",1525,T,100,5.1,294.9,75.7,Pelalawan,RIAU
0.307,103.156,313.9,1.2,1.1,"2014, 1, 26",1525,T,84,5.1,292.5,23.6,Pelalawan,RIAU
0.838,102.344,308.7,2.2,1.4,"2014, 1, 26",1822,A,62,5.1,290.5,36.2,Siak,RIAU
0.87,102.304,306.9,1.4,1.2,"2014, 1, 26",1525,T,49,5.1,292.3,13.1,Siak,RIAU
0.832,102.335,326.9,1.4,1.2,"2014, 1, 26",1525,T,100,5.1,292.6,49.2,Siak,RIAU
0.834,102.347,310.7,1.4,1.2,"2014, 1, 26",1525,T,72,5.1,292.3,18.5,Siak,RIAU
-0.42,102.888,317,1.1,1.1,"2014, 1, 27",346,T,67,5.1,296,13.9,Indragiri Hilir,RIAU
0.364,102.009,323,1,1,"2014, 1, 27",643,A,72,5.1,296,18.5,Pelalawan,RIAU
0.309,103.001,316.6,1.1,1.1,"2014, 1, 27",346,T,45,5.1,296.9,12.7,Pelalawan,RIAU
0.348,102.803,321,1.1,1,"2014, 1, 27",346,T,54,5.1,296.6,18.6,Pelalawan,RIAU
0.349,102.793,317.7,1.1,1,"2014, 1, 27",346,T,36,5.1,298.2,13.7,Pelalawan,RIAU
0.307,103.145,334.8,1.1,1.1,"2014, 1, 27",346,T,82,5.1,297.1,43,Pelalawan,RIAU
0.351,103.075,320,1.1,1.1,"2014, 1, 27",346,T,68,5.1,297.6,16.5,Pelalawan,RIAU
0.865,102.303,323.3,1,1,"2014, 1, 27",643,A,68,5.1,298.9,18.2,Siak,RIAU
0.835,102.341,340.1,1,1,"2014, 1, 27",643,A,86,5.1,301.2,40.7,Siak,RIAU
0.824,102.333,345.9,1,1,"2014, 1, 27",643,A,93,5.1,297.9,54.9,Siak,RIAU
1.046,102.302,309.9,1.1,1,"2014, 1, 29",1852,A,68,5.1,293.4,13.6,Bengkalis,RIAU
1.055,102.303,310.2,1.1,1,"2014, 1, 29",1852,A,63,5.1,292.8,13,Bengkalis,RIAU
