LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
1.475,101.909,315.5,1.9,1.3,"2014, 7, 1",625,A,57,5.1,296.8,27.4,Bengkalis,RIAU
1.344,102.271,314.8,1.8,1.3,"2014, 7, 1",625,A,37,5.1,296.4,24.6,Bengkalis,RIAU
1.141,101.052,305.6,1,1,"2014, 7, 1",1550,T,34,5.1,290.9,8.3,Bengkalis,RIAU
0.955,101.475,317.8,1.5,1.2,"2014, 7, 1",328,T,26,5.1,297.9,18.3,Bengkalis,RIAU
1.395,101.709,312.5,1.5,1.2,"2014, 7, 1",328,T,46,5.1,296.3,13.6,Bengkalis,RIAU
1.317,102.325,314.4,1.3,1.1,"2014, 7, 1",328,T,20,5.1,297.2,12.6,Bengkalis,RIAU
1.48,101.909,317.8,1.4,1.2,"2014, 7, 1",328,T,68,5.1,299,20.1,Bengkalis,RIAU
0.02,102.711,314,1.7,1.3,"2014, 7, 1",625,A,17,5.1,296.4,20,Indragiri Hilir,RIAU
0.035,102.816,314.7,1.7,1.3,"2014, 7, 1",625,A,35,5.1,297.4,21.7,Indragiri Hilir,RIAU
-0.418,102.718,316.6,1.2,1.1,"2014, 7, 1",328,T,66,5.1,299.5,14.5,Indragiri Hilir,RIAU
-0.417,102.707,315.7,1.2,1.1,"2014, 7, 1",328,T,60,5.1,299.4,13,Indragiri Hilir,RIAU
-0.019,102.685,310,1.7,1.3,"2014, 7, 1",625,A,10,5.1,294.4,15,Indragiri Hulu,RIAU
0.721,101.394,308,1.1,1,"2014, 7, 1",1550,T,58,5.1,289.7,11,Kampar,RIAU
0.668,101.252,315.5,1.5,1.2,"2014, 7, 1",328,T,57,5.1,296.3,20,Kampar,RIAU
0.117,102.83,313.1,1.7,1.3,"2014, 7, 1",625,A,57,5.1,297.4,19,Pelalawan,RIAU
0.119,102.822,311.3,1.2,1.1,"2014, 7, 1",328,T,48,5.1,296.6,9.7,Pelalawan,RIAU
0.121,102.811,312.4,1.2,1.1,"2014, 7, 1",328,T,54,5.1,297.1,11.2,Pelalawan,RIAU
0.3,102.507,314.6,1.2,1.1,"2014, 7, 1",328,T,48,5.1,297.4,14,Pelalawan,RIAU
0.938,101.846,318.5,1.4,1.2,"2014, 7, 1",328,T,27,5.1,298.5,19.1,Siak,RIAU
1.291,101.93,318.2,1.2,1.1,"2014, 7, 15",637,A,58,5.1,303,15.2,Bengkalis,RIAU
1.298,101.935,316.9,1,1,"2014, 7, 15",340,T,44,5.1,302.4,11.6,Bengkalis,RIAU
1.336,102.242,313.6,1,1,"2014, 7, 15",340,T,0,5.1,301.1,9.5,Bengkalis,RIAU
1.477,101.911,315.7,1,1,"2014, 7, 15",340,T,64,5.1,300.6,10,Bengkalis,RIAU
1.478,101.901,314.4,1,1,"2014, 7, 15",340,T,56,5.1,300.3,8.8,Bengkalis,RIAU
-0.143,102.892,313.2,1,1,"2014, 7, 15",340,T,41,5.1,295.3,9.7,Indragiri Hilir,RIAU
-0.14,102.874,316.8,1,1,"2014, 7, 15",340,T,11,5.1,300.3,12.7,Indragiri Hilir,RIAU
-0.139,102.865,317.4,1,1,"2014, 7, 15",340,T,50,5.1,301.1,13.6,Indragiri Hilir,RIAU
0.121,103.231,316,1,1,"2014, 7, 15",340,T,58,5.1,297.6,11.7,Indragiri Hilir,RIAU
-0.247,102.416,313.9,1,1,"2014, 7, 15",340,T,24,5.1,296.6,8.9,Indragiri Hulu,RIAU
0.663,101.242,319.8,1.3,1.1,"2014, 7, 15",637,A,51,5.1,303.4,19.6,Kampar,RIAU
0.144,101.516,317.8,1,1,"2014, 7, 15",340,T,66,5.1,303.4,12.4,Kampar,RIAU
1.379,101.48,305.5,1.1,1.1,"2014, 7, 15",1858,A,32,5.1,293.2,8.9,Kota Dumai,RIAU
1.381,101.471,306.5,1.1,1.1,"2014, 7, 15",1858,A,46,5.1,293.2,9.8,Kota Dumai,RIAU
1.369,101.463,328,1.2,1.1,"2014, 7, 15",637,A,74,5.1,301.8,27.8,Kota Dumai,RIAU
1.37,101.474,343.3,1.2,1.1,"2014, 7, 15",637,A,92,5.1,304.1,60.1,Kota Dumai,RIAU
1.372,101.485,330.6,1.2,1.1,"2014, 7, 15",637,A,78,5.1,304,29.5,Kota Dumai,RIAU
1.375,101.473,309.6,1.7,1.3,"2014, 7, 15",1602,T,67,5.1,292.9,22.7,Kota Dumai,RIAU
1.374,101.464,307.8,1.7,1.3,"2014, 7, 15",1602,T,57,5.1,292.8,18,Kota Dumai,RIAU
1.376,101.479,306.3,1.7,1.3,"2014, 7, 15",1602,T,40,5.1,292.8,15.1,Kota Dumai,RIAU
-0.185,101.745,308.1,1.2,1.1,"2014, 7, 15",1858,A,59,5.1,292.9,13.2,Pelalawan,RIAU
-0.113,101.673,327.9,1.2,1.1,"2014, 7, 15",637,A,81,5.1,287.7,34.6,Pelalawan,RIAU
-0.193,101.734,311.9,1.6,1.3,"2014, 7, 15",1602,T,77,5.1,292.5,30,Pelalawan,RIAU
-0.191,101.749,308.3,1.7,1.3,"2014, 7, 15",1602,T,48,5.1,292.4,24.1,Pelalawan,RIAU
0.308,102.336,318.8,1,1,"2014, 7, 15",340,T,47,5.1,301,16.1,Pelalawan,RIAU
0.309,102.327,314.4,1,1,"2014, 7, 15",340,T,42,5.1,297.4,11.2,Pelalawan,RIAU
0.792,102.261,313.9,1.1,1.1,"2014, 7, 15",637,A,33,5.1,286.3,13.3,Siak,RIAU
0.509,101.976,315.3,1,1,"2014, 7, 15",340,T,61,5.1,301.7,9.5,Siak,RIAU
1.244,102.248,312.9,3.4,1.7,"2014, 7, 16",720,A,19,5.1,294.9,44.3,Bengkalis,RIAU
0.777,102.376,315.9,3.4,1.7,"2014, 7, 16",720,A,50,5.1,295.8,57.4,Siak,RIAU
0.781,102.383,314.9,3.4,1.7,"2014, 7, 16",720,A,36,5.1,295.4,51.5,Siak,RIAU
1.377,101.466,311.8,1.1,1,"2014, 7, 17",1550,T,63,5.1,288.9,15,Kota Dumai,RIAU
1.369,101.477,305.2,1.1,1,"2014, 7, 17",1550,T,5,5.1,286.5,9.9,Kota Dumai,RIAU
1.409,101.467,327.9,1.7,1.3,"2014, 7, 18",708,A,38,5.1,303.4,39.5,Kota Dumai,RIAU
1.376,101.462,337.7,1.7,1.3,"2014, 7, 18",708,A,80,5.1,300.4,71.4,Kota Dumai,RIAU
1.379,101.477,349.8,1.7,1.3,"2014, 7, 18",708,A,95,5.1,302.6,124.5,Kota Dumai,RIAU
1.365,101.464,342.2,1.7,1.3,"2014, 7, 18",708,A,91,5.1,302.8,91.9,Kota Dumai,RIAU
1.367,101.479,373.2,1.7,1.3,"2014, 7, 18",708,A,100,5.1,306.4,271.1,Kota Dumai,RIAU
1.369,101.484,328.8,2.3,1.5,"2014, 7, 18",411,T,82,5.1,301.4,81.9,Kota Dumai,RIAU
0.473,102.073,313,2.6,1.6,"2014, 7, 18",411,T,40,5.1,297.2,37.5,Pelalawan,RIAU
0.478,102.08,314.2,2.6,1.6,"2014, 7, 18",411,T,60,5.1,297.9,44.5,Pelalawan,RIAU
1.213,101.049,305.2,1.1,1,"2014, 7, 19",1538,T,21,5.1,293.5,8.9,Bengkalis,RIAU
1.063,101.014,312,1.1,1,"2014, 7, 19",1538,T,77,5.1,293.3,16.5,Bengkalis,RIAU
1.054,101.154,305.6,1.1,1,"2014, 7, 19",1538,T,33,5.1,293.3,9.6,Bengkalis,RIAU
