LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
0.842,102.718,310,3.8,1.8,"2014, 6, 10",607,A,22,5.1,290.2,45.9,Bengkalis,RIAU
0.111,102.626,313.5,2.6,1.6,"2014, 6, 10",310,T,30,5.1,291.5,35.5,Pelalawan,RIAU
0.114,102.603,313.6,2.7,1.6,"2014, 6, 10",310,T,50,5.1,291.5,36.5,Pelalawan,RIAU
0.165,102.688,314,2.6,1.6,"2014, 6, 10",310,T,59,5.1,291.3,39.7,Pelalawan,RIAU
0.637,102.834,310.3,3.8,1.8,"2014, 6, 10",607,A,27,5.1,288.4,51.6,Siak,RIAU
1.012,101.408,318.4,1,1,"2014, 6, 11",650,A,69,5.1,293.2,9.8,Bengkalis,RIAU
0.95,101.47,317.1,1.1,1.1,"2014, 6, 11",353,T,35,5.1,296.5,13.1,Bengkalis,RIAU
1.165,101.959,313.1,1.2,1.1,"2014, 6, 11",353,T,39,5.1,295.6,10.5,Bengkalis,RIAU
1.168,101.955,317.4,1.2,1.1,"2014, 6, 11",353,T,50,5.1,299,16,Bengkalis,RIAU
1.159,102.284,318.3,1.2,1.1,"2014, 6, 11",353,T,37,5.1,297.9,14.8,Bengkalis,RIAU
1.379,101.403,324.6,1,1,"2014, 6, 11",650,A,48,5.1,302.1,7.8,Kota Dumai,RIAU
1.381,101.412,330.5,1,1,"2014, 6, 11",650,A,76,5.1,303.7,17.7,Kota Dumai,RIAU
1.342,101.527,321.3,1,1,"2014, 6, 11",650,A,39,5.1,300.9,9.5,Kota Dumai,RIAU
0.53,102.283,316.1,1,1,"2014, 6, 11",650,A,65,5.1,299.5,10.6,Pelalawan,RIAU
-0.079,101.629,324.5,1,1,"2014, 6, 11",649,A,78,5.1,301.3,15.1,Pelalawan,RIAU
-0.102,101.596,318.1,1,1,"2014, 6, 11",649,A,48,5.1,301.1,7.3,Pelalawan,RIAU
-0.218,101.816,320.1,1,1,"2014, 6, 11",649,A,61,5.1,297,10.4,Pelalawan,RIAU
-0.217,101.824,318.6,1,1,"2014, 6, 11",649,A,39,5.1,295.3,8.6,Pelalawan,RIAU
0.833,101.892,315.6,1,1,"2014, 6, 11",650,A,64,5.1,293,9.5,Siak,RIAU
0.664,101.606,312.2,1.2,1.1,"2014, 6, 11",353,T,47,5.1,293.1,6.2,Siak,RIAU
0.638,102.837,319.1,1.4,1.2,"2014, 6, 11",353,T,66,5.1,298.1,23.3,Siak,RIAU
0.991,101.89,310,1.2,1.1,"2014, 6, 11",353,T,17,5.1,290,7.9,Siak,RIAU
1.296,102.23,313.6,1.1,1.1,"2014, 6, 13",638,A,42,5.1,294.6,14.1,Bengkalis,RIAU
-0.228,102.926,315.5,1,1,"2014, 6, 13",341,T,27,5.1,295.8,11.2,Indragiri Hilir,RIAU
