LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
1.314,102.078,314.2,4.1,1.9,"2014, 3, 1",1809,A,85,5.1,288.2,128.2,Bengkalis,RIAU
1.341,101.663,305.5,4.4,1.9,"2014, 3, 1",1809,A,31,5.1,286.8,81.3,Bengkalis,RIAU
1.317,102.085,313.1,4.1,1.9,"2014, 3, 1",1809,A,81,5.1,288.2,119.3,Bengkalis,RIAU
1.304,102.038,326.7,4.3,1.9,"2014, 3, 1",727,A,51,5.1,295.3,171.5,Bengkalis,RIAU
1.332,101.65,318.6,2.6,1.6,"2014, 3, 1",1513,T,96,5.1,290.8,82.6,Bengkalis,RIAU
1.335,101.673,305.3,2.6,1.5,"2014, 3, 1",1513,T,25,5.1,290.7,29.7,Bengkalis,RIAU
1.393,102.05,313.8,2.4,1.5,"2014, 3, 1",1513,T,52,5.1,292.1,47.6,Bengkalis,RIAU
1.396,102.071,320.4,2.4,1.5,"2014, 3, 1",1513,T,87,5.1,292.8,71.8,Bengkalis,RIAU
1.34,101.655,326.9,2.6,1.6,"2014, 3, 1",1513,T,100,5.1,290.8,125.5,Bengkalis,RIAU
1.398,102.055,309,2.4,1.5,"2014, 3, 1",1513,T,30,5.1,292,32,Bengkalis,RIAU
1.384,102.058,320.6,2.4,1.5,"2014, 3, 1",1513,T,100,5.1,292.5,78.2,Bengkalis,RIAU
1.388,102.079,309.2,2.4,1.5,"2014, 3, 1",1513,T,31,5.1,292.3,32.9,Bengkalis,RIAU
1.354,102.127,305.7,2.4,1.5,"2014, 3, 1",1513,T,35,5.1,292.2,23.6,Bengkalis,RIAU
1.314,102.046,328.3,2.4,1.5,"2014, 3, 1",1513,T,100,5.1,291.8,112.6,Bengkalis,RIAU
1.317,102.067,341.9,2.4,1.5,"2014, 3, 1",1513,T,100,5.1,292.5,193.8,Bengkalis,RIAU
1.304,102.069,311.2,2.4,1.5,"2014, 3, 1",1513,T,51,5.1,291.7,35.3,Bengkalis,RIAU
1.307,102.091,313.1,2.4,1.5,"2014, 3, 1",1513,T,67,5.1,291.7,43.8,Bengkalis,RIAU
1.319,102.05,335.9,2.4,1.5,"2014, 3, 1",1513,T,100,5.1,291.9,152.1,Bengkalis,RIAU
1.323,102.072,321.1,2.4,1.5,"2014, 3, 1",1513,T,100,5.1,291.7,73.5,Bengkalis,RIAU
1.306,102.052,307.9,2.4,1.5,"2014, 3, 1",1513,T,19,5.1,291.4,22.2,Bengkalis,RIAU
1.309,102.074,323.8,2.4,1.5,"2014, 3, 1",1513,T,100,5.1,292.1,86.3,Bengkalis,RIAU
1.296,102.076,313.7,2.4,1.5,"2014, 3, 1",1513,T,71,5.1,291.4,46.7,Bengkalis,RIAU
1.299,102.097,307.5,2.4,1.5,"2014, 3, 1",1513,T,14,5.1,291.2,26.4,Bengkalis,RIAU
1.279,102.056,310.1,2.4,1.5,"2014, 3, 1",1513,T,8,5.1,291.2,33.4,Bengkalis,RIAU
1.096,102.051,306.3,2.4,1.5,"2014, 3, 1",1513,T,38,5.1,290.6,27.8,Bengkalis,RIAU
1.082,102.053,309.4,2.4,1.5,"2014, 3, 1",1513,T,66,5.1,290.7,38.7,Bengkalis,RIAU
1.086,102.354,306.3,2.3,1.5,"2014, 3, 1",1513,T,30,5.1,290.4,28.9,Bengkalis,RIAU
1.053,102.317,324.3,2.3,1.5,"2014, 3, 1",1513,T,100,5.1,290.3,87.4,Bengkalis,RIAU
1.057,102.337,313.2,2.3,1.5,"2014, 3, 1",1513,T,58,5.1,291.2,43.7,Bengkalis,RIAU
1.076,102.362,312.3,2.3,1.5,"2014, 3, 1",1513,T,73,5.1,290.9,45,Bengkalis,RIAU
1.057,102.323,330,2.3,1.5,"2014, 3, 1",1513,T,100,5.1,291.2,118.4,Bengkalis,RIAU
1.024,102.37,314.3,2.3,1.5,"2014, 3, 1",1513,T,85,5.1,289.1,52,Bengkalis,RIAU
1.01,102.372,306.7,2.3,1.5,"2014, 3, 1",1513,T,43,5.1,288.7,26.3,Bengkalis,RIAU
0.897,102.484,310.6,2.3,1.5,"2014, 3, 1",1513,T,71,5.1,288.3,40.2,Bengkalis,RIAU
0.778,102.568,305,2.3,1.5,"2014, 3, 1",1513,T,11,5.1,289.9,24.9,Bengkalis,RIAU
0.781,102.588,307.3,2.2,1.5,"2014, 3, 1",1513,T,53,5.1,290.3,31.8,Bengkalis,RIAU
0.023,103.126,314.1,2.1,1.4,"2014, 3, 1",1513,T,84,5.1,285.9,49.4,Indragiri Hilir,RIAU
0.007,103.109,310.4,2.1,1.4,"2014, 3, 1",1513,T,69,5.1,285,39.1,Indragiri Hilir,RIAU
0.01,103.128,313.8,2.1,1.4,"2014, 3, 1",1513,T,83,5.1,283.4,49.3,Indragiri Hilir,RIAU
0.007,103.115,316.1,2.1,1.4,"2014, 3, 1",1513,T,90,5.1,283.1,57,Indragiri Hilir,RIAU
0.009,103.133,307,2.1,1.4,"2014, 3, 1",1513,T,41,5.1,282,29.7,Indragiri Hilir,RIAU
1.427,101.675,311.4,4.4,1.9,"2014, 3, 1",1809,A,62,5.1,287.4,126.5,Kota Dumai,RIAU
1.433,101.636,308,4.5,1.9,"2014, 3, 1",1809,A,31,5.1,286.2,99.1,Kota Dumai,RIAU
1.445,101.678,309.8,4.4,1.9,"2014, 3, 1",1809,A,68,5.1,287.4,119.3,Kota Dumai,RIAU
1.451,101.638,308.2,4.5,1.9,"2014, 3, 1",1809,A,56,5.1,286.7,106.3,Kota Dumai,RIAU
1.468,101.641,326.9,4.5,1.9,"2014, 3, 1",1809,A,100,5.1,286.8,280.1,Kota Dumai,RIAU
1.436,101.641,313.2,4.5,1.9,"2014, 3, 1",1809,A,29,5.1,286.7,138,Kota Dumai,RIAU
1.471,101.646,328.5,4.5,1.9,"2014, 3, 1",1809,A,100,5.1,287,303.9,Kota Dumai,RIAU
1.446,101.656,343.5,2.6,1.5,"2014, 3, 1",1513,T,100,5.1,293.5,234.5,Kota Dumai,RIAU
1.429,101.635,331.7,2.6,1.6,"2014, 3, 1",1513,T,100,5.1,292.3,154.4,Kota Dumai,RIAU
1.432,101.658,336.5,2.6,1.5,"2014, 3, 1",1513,T,100,5.1,293.4,182.9,Kota Dumai,RIAU
1.415,101.637,314.7,2.6,1.6,"2014, 3, 1",1513,T,86,5.1,291.3,67.1,Kota Dumai,RIAU
1.418,101.661,332.8,2.6,1.5,"2014, 3, 1",1513,T,100,5.1,293.3,158.3,Kota Dumai,RIAU
1.452,101.65,362.9,2.6,1.5,"2014, 3, 1",1513,T,100,5.1,293.1,420.7,Kota Dumai,RIAU
1.455,101.673,326,2.6,1.5,"2014, 3, 1",1513,T,100,5.1,290.9,118.1,Kota Dumai,RIAU
1.434,101.629,319.4,2.6,1.6,"2014, 3, 1",1513,T,98,5.1,291,84.5,Kota Dumai,RIAU
1.438,101.652,339.1,2.6,1.5,"2014, 3, 1",1513,T,100,5.1,293.8,200.7,Kota Dumai,RIAU
1.42,101.632,313.1,2.6,1.6,"2014, 3, 1",1513,T,81,5.1,291.3,58.1,Kota Dumai,RIAU
1.424,101.655,345.7,2.6,1.5,"2014, 3, 1",1513,T,100,5.1,294.7,252.8,Kota Dumai,RIAU
1.442,101.633,320.5,2.6,1.6,"2014, 3, 1",1513,T,100,5.1,291.2,90.5,Kota Dumai,RIAU
0.573,102.953,305.9,2.1,1.4,"2014, 3, 1",1513,T,38,5.1,289.5,22.6,Pelalawan,RIAU
0.841,102.305,311.6,3.9,1.8,"2014, 3, 1",1809,A,31,5.1,277.6,108.2,Siak,RIAU
0.832,102.309,310,3.9,1.8,"2014, 3, 1",1809,A,48,5.1,275.3,100.3,Siak,RIAU
