LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
-0.373,102.545,312.9,1.3,1.1,"2014, 5, 10",353,T,33,5.1,293.2,12.8,Indragiri Hulu,RIAU
0.467,102.251,319.9,1.3,1.1,"2014, 5, 10",353,T,51,5.1,296.9,19.2,Pelalawan,RIAU
0.468,102.24,319.2,1.3,1.1,"2014, 5, 10",353,T,24,5.1,297.1,17.8,Pelalawan,RIAU
0.533,102.222,314.8,1.2,1.1,"2014, 5, 10",353,T,54,5.1,295.3,15,Pelalawan,RIAU
0.534,102.211,313.5,1.2,1.1,"2014, 5, 10",353,T,57,5.1,293.8,13.8,Pelalawan,RIAU
0.536,102.2,312.2,1.2,1.1,"2014, 5, 10",353,T,42,5.1,293.5,11.7,Pelalawan,RIAU
0.559,102.944,312.2,1.4,1.2,"2014, 5, 10",353,T,21,5.1,292.6,14.5,Pelalawan,RIAU
0.702,102.107,322,1.2,1.1,"2014, 5, 10",353,T,70,5.1,297.8,23.9,Siak,RIAU
0.635,102.837,319.8,1.4,1.2,"2014, 5, 10",353,T,68,5.1,295.6,26.8,Siak,RIAU
0.637,102.825,321.6,1.4,1.2,"2014, 5, 10",353,T,65,5.1,297.1,29.3,Siak,RIAU
0.687,102.556,313.2,1.3,1.1,"2014, 5, 10",353,T,22,5.1,293,12.7,Siak,RIAU
0.763,102.111,314.4,1.2,1.1,"2014, 5, 10",353,T,35,5.1,294.3,14.5,Siak,RIAU
0.845,102.708,310.9,3.7,1.8,"2014, 5, 13",721,A,18,5.1,286.5,46,Bengkalis,RIAU
0.85,102.741,311.4,3.7,1.8,"2014, 5, 13",721,A,34,5.1,286.3,47.1,Bengkalis,RIAU
0.853,102.72,317.6,2.1,1.4,"2014, 5, 15",708,A,61,5.1,294.4,34.4,Bengkalis,RIAU
0.854,102.725,317.9,2.1,1.4,"2014, 5, 15",708,A,69,5.1,294.5,37.1,Bengkalis,RIAU
-0.328,103.152,314.6,2.2,1.4,"2014, 5, 15",708,A,62,5.1,294.8,25,Indragiri Hilir,RIAU
-0.191,102.938,312.4,1.9,1.3,"2014, 5, 16",316,T,40,5.1,294.4,18.5,Indragiri Hilir,RIAU
0.027,102.703,314.2,2,1.4,"2014, 5, 16",316,T,50,5.1,293.9,25.9,Indragiri Hulu,RIAU
0.04,102.705,313.8,2,1.4,"2014, 5, 16",316,T,41,5.1,293.9,24.6,Indragiri Hulu,RIAU
0.125,102.829,311.4,1.9,1.4,"2014, 5, 16",316,T,42,5.1,292.5,20.7,Pelalawan,RIAU
