LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
1.404,101.676,310,2.4,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,59,5.1,292.5,37.8,Bengkalis,RIAU
1.407,101.655,323.7,2.4,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,294,89.7,Bengkalis,RIAU
1.39,102.054,323.4,2.5,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,292.7,99.2,Bengkalis,RIAU
1.393,102.031,323.3,2.5,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,292.1,100.9,Bengkalis,RIAU
1.407,102.033,307.2,2.5,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,52,5.1,291.5,34.5,Bengkalis,RIAU
1.355,102.242,308.7,2.6,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,30,5.1,291.2,36.3,Bengkalis,RIAU
1.397,102.06,313.1,2.5,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,81,5.1,291.9,53.7,Bengkalis,RIAU
1.4,102.037,333.9,2.5,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,292.7,161.8,Bengkalis,RIAU
1.475,101.912,310.4,2.5,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,71,5.1,292,44.6,Bengkalis,RIAU
1.489,101.914,308.9,2.5,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,64,5.1,291.8,41.5,Bengkalis,RIAU
1.492,101.892,305.4,2.5,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,29,5.1,291.3,29.4,Bengkalis,RIAU
1.482,101.92,307.9,2.5,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,35,5.1,291.8,34.4,Bengkalis,RIAU
1.485,101.898,312.6,2.5,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,79,5.1,292,51.3,Bengkalis,RIAU
1.48,101.906,345.5,1.1,1.1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,93,5.1,309.1,59.5,Bengkalis,RIAU
1.481,101.917,332.2,1.1,1.1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,84,5.1,306.5,30.6,Bengkalis,RIAU
1.403,101.703,336.8,1.1,1.1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,88,5.1,300.2,42.2,Bengkalis,RIAU
1.345,101.666,335.6,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,82,5.1,299.2,41.6,Bengkalis,RIAU
1.37,102.283,333.2,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,61,5.1,302.1,27.9,Bengkalis,RIAU
1.355,102.252,334.1,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,61,5.1,305.4,24.8,Bengkalis,RIAU
1.164,101.959,327.4,1.1,1.1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,55,5.1,304.3,24.5,Bengkalis,RIAU
1.045,102.283,349.9,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,72,5.1,305.2,72.5,Bengkalis,RIAU
1.046,102.358,331,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,27,5.1,305.8,27.2,Bengkalis,RIAU
0.897,102.533,330.4,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,25,5.1,304.6,23.2,Bengkalis,RIAU
0.854,102.746,338.5,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,85,5.1,310.2,45.7,Bengkalis,RIAU
0.846,102.759,330.9,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,23,5.1,308.2,28.3,Bengkalis,RIAU
0.894,102.719,315.8,1.7,1.3,"PyQt4.QtCore.QDate(2014, 3, 14)",358,T,33,5.1,297.9,21.9,Bengkalis,RIAU
1.416,101.67,305.3,3.1,1.7,"PyQt4.QtCore.QDate(2014, 3, 5)",1923,A,26,5.1,288.4,51.1,Bengkalis,RIAU
1.387,102.072,348,1.4,1.2,"PyQt4.QtCore.QDate(2014, 3, 5)",702,A,94,5.1,306,91.1,Bengkalis,RIAU
1.06,102.356,323.1,1.5,1.2,"PyQt4.QtCore.QDate(2014, 3, 5)",702,A,37,5.1,306.7,25.4,Bengkalis,RIAU
0.782,102.579,314.3,1.5,1.2,"PyQt4.QtCore.QDate(2014, 3, 5)",702,A,39,5.1,297.4,15.9,Bengkalis,RIAU
1.381,102.085,322.9,2,1.4,"PyQt4.QtCore.QDate(2014, 3, 5)",404,T,61,5.1,298.2,42.2,Bengkalis,RIAU
1.384,102.067,321.1,2,1.4,"PyQt4.QtCore.QDate(2014, 3, 5)",404,T,47,5.1,298.9,36,Bengkalis,RIAU
