LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
-0.061,103.034,305.5,3.2,1.7,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,32,5.1,290,45.2,Indragiri Hilir,RIAU
0.011,103.124,324.2,1.6,1.3,"PyQt4.QtCore.QDate(2014, 3, 5)",702,A,64,5.1,299.2,35.9,Indragiri Hilir,RIAU
-0.007,103.22,308.9,1,1,"PyQt4.QtCore.QDate(2014, 2, 16)",1840,A,63,5.1,291.7,12.1,Indragiri Hilir,RIAU
-0.006,103.211,308.5,1,1,"PyQt4.QtCore.QDate(2014, 2, 16)",1840,A,61,5.1,291.8,11.8,Indragiri Hilir,RIAU
-0.551,102.695,323.9,1.5,1.2,"PyQt4.QtCore.QDate(2014, 3, 6)",1828,A,100,5.1,295.6,50.6,Indragiri Hilir,RIAU
-0.54,102.696,307,1.5,1.2,"PyQt4.QtCore.QDate(2014, 3, 6)",1828,A,14,5.1,293,17.9,Indragiri Hilir,RIAU
-0.547,102.701,312.2,1.5,1.2,"PyQt4.QtCore.QDate(2014, 3, 6)",1828,A,60,5.1,294,26.8,Indragiri Hilir,RIAU
-0.03,103.235,305.1,1.4,1.2,"PyQt4.QtCore.QDate(2014, 3, 6)",1828,A,18,5.1,293,15.1,Indragiri Hilir,RIAU
-0.005,103.136,310,1.4,1.2,"PyQt4.QtCore.QDate(2014, 3, 6)",1828,A,27,5.1,294.2,20.4,Indragiri Hilir,RIAU
-0.003,103.123,319,1.4,1.2,"PyQt4.QtCore.QDate(2014, 3, 6)",1828,A,97,5.1,296.6,36.5,Indragiri Hilir,RIAU
-0.001,103.11,307.5,1.4,1.2,"PyQt4.QtCore.QDate(2014, 3, 6)",1828,A,39,5.1,294.1,16.5,Indragiri Hilir,RIAU
0.006,103.137,326.7,1.4,1.2,"PyQt4.QtCore.QDate(2014, 3, 6)",1828,A,100,5.1,296.6,54.2,Indragiri Hilir,RIAU
0.056,103.267,342,1.4,1.2,"PyQt4.QtCore.QDate(2014, 3, 6)",1828,A,100,5.1,295.8,94.4,Indragiri Hilir,RIAU
0.067,103.268,316.4,1.4,1.2,"PyQt4.QtCore.QDate(2014, 3, 6)",1828,A,91,5.1,294.1,32.7,Indragiri Hilir,RIAU
0.022,103.117,309.8,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,42,5.1,293.9,11.6,Indragiri Hilir,RIAU
0.002,103.11,308.9,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,35,5.1,295.4,10.1,Indragiri Hilir,RIAU
0.005,103.129,334.2,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,100,5.1,298.9,44.5,Indragiri Hilir,RIAU
0.006,103.139,322.6,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,100,5.1,294.8,27.4,Indragiri Hilir,RIAU
-0.007,103.112,330.4,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,100,5.1,298.8,38.2,Indragiri Hilir,RIAU
-0.006,103.121,324,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,100,5.1,298.9,28.1,Indragiri Hilir,RIAU
-0.004,103.13,330.8,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,100,5.1,298.7,39.8,Indragiri Hilir,RIAU
-0.003,103.14,307.6,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,51,5.1,294.1,10.9,Indragiri Hilir,RIAU
-0.001,103.216,305.2,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,22,5.1,293.8,8.2,Indragiri Hilir,RIAU
-0.011,103.218,310.5,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,71,5.1,293.9,13.4,Indragiri Hilir,RIAU
-0.048,103.021,306.6,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,47,5.1,294.2,9.8,Indragiri Hilir,RIAU
-0.056,103.018,313.4,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,82,5.1,294.3,16.5,Indragiri Hilir,RIAU
-0.546,102.697,314.7,1.1,1.1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,86,5.1,294.8,18.5,Indragiri Hilir,RIAU
-0.557,102.688,326.6,1.1,1.1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,100,5.1,297.8,35.6,Indragiri Hilir,RIAU
-0.561,102.695,306,1.1,1.1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,20,5.1,295.1,8.9,Indragiri Hilir,RIAU
0.13,103.23,305.3,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,28,5.1,294.1,8.5,Indragiri Hilir,RIAU
0.06,103.255,311.5,1,1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,75,5.1,294.9,13.5,Indragiri Hilir,RIAU
0.062,103.264,339.3,1,1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,100,5.1,297.4,54.2,Indragiri Hilir,RIAU
