LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
-0.555,102.671,307.1,4.1,1.9,"PyQt4.QtCore.QDate(2014, 3, 3)",1500,T,52,5.1,286.3,85.2,Indragiri Hulu,RIAU
-0.545,102.687,315.2,1.5,1.2,"PyQt4.QtCore.QDate(2014, 3, 6)",1828,A,87,5.1,294.6,32.3,Indragiri Hulu,RIAU
-0.539,102.676,305.3,1.1,1.1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,15,5.1,293.9,8.2,Indragiri Hulu,RIAU
-0.538,102.686,313.9,1.1,1.1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,84,5.1,294.3,17.7,Indragiri Hulu,RIAU
-0.549,102.677,316.7,1.1,1.1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,92,5.1,295.5,21,Indragiri Hulu,RIAU
-0.547,102.687,328.7,1.1,1.1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,100,5.1,296.8,38.6,Indragiri Hulu,RIAU
-0.562,102.685,307.9,1.1,1.1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,51,5.1,295.6,10.9,Indragiri Hulu,RIAU
-0.706,102.021,307.8,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,57,5.1,293.6,13.9,Indragiri Hulu,RIAU
-0.566,102.663,335.6,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1847,A,100,5.1,290.1,45.4,Indragiri Hulu,RIAU
-0.565,102.654,332.4,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1847,A,100,5.1,289.6,40.4,Indragiri Hulu,RIAU
-0.455,102.602,327.9,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1847,A,100,5.1,289.6,33.5,Indragiri Hulu,RIAU
-0.454,102.594,305.4,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1847,A,24,5.1,288.1,7.7,Indragiri Hulu,RIAU
-0.447,102.549,306,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1847,A,25,5.1,289.5,7.5,Indragiri Hulu,RIAU
-0.446,102.54,328.3,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1847,A,100,5.1,291.3,33.2,Indragiri Hulu,RIAU
-0.414,102.697,313,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1847,A,77,5.1,288.4,14.4,Indragiri Hulu,RIAU
-0.35,102.633,306,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1847,A,40,5.1,288.7,8.6,Indragiri Hulu,RIAU
-0.33,102.633,322.4,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1847,A,100,5.1,289.1,25,Indragiri Hulu,RIAU
-0.329,102.624,307.6,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1847,A,31,5.1,288.5,9.3,Indragiri Hulu,RIAU
-0.321,102.634,313.5,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1847,A,82,5.1,288.9,15.3,Indragiri Hulu,RIAU
-0.283,102.439,332.1,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1847,A,100,5.1,294.2,39.2,Indragiri Hulu,RIAU
-0.282,102.43,318,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1847,A,95,5.1,293,20.3,Indragiri Hulu,RIAU
0.031,102.695,322.2,1.7,1.3,"PyQt4.QtCore.QDate(2014, 3, 27)",625,A,38,5.1,301,35.5,Indragiri Hulu,RIAU
0.034,102.7,322.3,1.7,1.3,"PyQt4.QtCore.QDate(2014, 3, 27)",625,A,75,5.1,300.5,39,Indragiri Hulu,RIAU
-0.026,102.693,315.3,1.7,1.3,"PyQt4.QtCore.QDate(2014, 3, 27)",625,A,59,5.1,296.9,22.5,Indragiri Hulu,RIAU
-0.24,102.398,316.9,1.8,1.3,"PyQt4.QtCore.QDate(2014, 3, 27)",625,A,36,5.1,298.1,28.6,Indragiri Hulu,RIAU
-0.252,102.4,317.3,1.8,1.3,"PyQt4.QtCore.QDate(2014, 3, 27)",625,A,40,5.1,298.2,29.3,Indragiri Hulu,RIAU
-0.25,102.416,316.6,1.8,1.3,"PyQt4.QtCore.QDate(2014, 3, 27)",625,A,23,5.1,297.9,26.9,Indragiri Hulu,RIAU
-0.334,102.63,323.2,1.8,1.3,"PyQt4.QtCore.QDate(2014, 3, 27)",625,A,76,5.1,295.3,41.1,Indragiri Hulu,RIAU
-0.463,102.596,321.7,1.8,1.3,"PyQt4.QtCore.QDate(2014, 3, 27)",625,A,47,5.1,297.3,31.1,Indragiri Hulu,RIAU
-0.282,102.431,333,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 27)",1550,T,100,5.1,294.3,49.3,Indragiri Hulu,RIAU
-0.28,102.441,306.1,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 27)",1550,T,42,5.1,292.7,8.7,Indragiri Hulu,RIAU
-0.326,102.626,331.2,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 27)",1550,T,100,5.1,292,47,Indragiri Hulu,RIAU
-0.427,102.56,307.9,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 27)",1549,T,47,5.1,292.9,10.4,Indragiri Hulu,RIAU
-0.408,102.698,314.2,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 27)",1549,T,85,5.1,294,18.3,Indragiri Hulu,RIAU
-0.442,102.53,306.2,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 27)",1549,T,43,5.1,292.8,9,Indragiri Hulu,RIAU
-0.44,102.541,306.8,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 27)",1549,T,26,5.1,293,8.8,Indragiri Hulu,RIAU
