LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
0.354,101.504,307.8,1.3,1.1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,57,5.1,294.6,12.3,Kampar,RIAU
0.347,101.528,314.2,1.3,1.1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,84,5.1,295,20.8,Kampar,RIAU
0.348,101.531,307.8,1,1,"PyQt4.QtCore.QDate(2014, 2, 16)",1544,T,57,5.1,294.3,8.6,Kampar,RIAU
0.342,101.507,340.9,1.1,1,"PyQt4.QtCore.QDate(2014, 2, 12)",644,A,85,5.1,298.7,48.3,Kampar,RIAU
0.343,101.517,336.3,1.1,1,"PyQt4.QtCore.QDate(2014, 2, 12)",644,A,87,5.1,299,38.3,Kampar,RIAU
0.735,101.223,317,1.1,1,"PyQt4.QtCore.QDate(2014, 2, 12)",644,A,67,5.1,297.6,11.9,Kampar,RIAU
0,101.582,330.1,1,1,"PyQt4.QtCore.QDate(2014, 2, 12)",346,T,83,5.1,294,30.1,Kampar,RIAU
0.643,101.293,327.4,1,1,"PyQt4.QtCore.QDate(2014, 3, 23)",650,A,80,5.1,303.4,19.1,Kampar,RIAU
0.364,101.513,306.2,1,1,"PyQt4.QtCore.QDate(2014, 3, 11)",1846,A,42,5.1,294.7,8.7,Kampar,RIAU
0.365,101.504,311.2,1,1,"PyQt4.QtCore.QDate(2014, 3, 11)",1846,A,74,5.1,295.1,13.8,Kampar,RIAU
0.363,101.501,312.9,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 11)",1549,T,80,5.1,295.2,15.8,Kampar,RIAU
0.146,101.517,317.2,1.3,1.1,"PyQt4.QtCore.QDate(2014, 7, 27)",701,A,67,5.1,298.3,16.8,Kampar,RIAU
0.646,101.29,314.8,1.6,1.3,"PyQt4.QtCore.QDate(2014, 2, 14)",631,A,57,5.1,293.7,21.4,Kampar,RIAU
0.665,101.245,314.4,1,1,"PyQt4.QtCore.QDate(2014, 4, 17)",346,T,61,5.1,297.5,10.5,Kampar,RIAU
0.356,101.509,307.6,1.1,1,"PyQt4.QtCore.QDate(2014, 2, 25)",1537,T,23,5.1,293.1,8.5,Kampar,RIAU
