LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
1.44,101.606,313.8,1,1,"PyQt4.QtCore.QDate(2014, 3, 20)",1544,T,57,5.1,286.8,16.5,Kota Dumai,RIAU
1.406,101.626,309.5,1,1,"PyQt4.QtCore.QDate(2014, 3, 20)",1544,T,44,5.1,287,11.6,Kota Dumai,RIAU
1.41,101.634,323.8,2.4,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,293.7,89.6,Kota Dumai,RIAU
1.421,101.657,307.1,2.4,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,18,5.1,292.3,26.6,Kota Dumai,RIAU
1.424,101.636,315.5,2.4,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,88,5.1,293.2,53.6,Kota Dumai,RIAU
1.427,101.615,310.8,2.3,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,42,5.1,292.4,36.4,Kota Dumai,RIAU
1.437,101.638,308.6,2.4,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,31,5.1,292.2,26.7,Kota Dumai,RIAU
1.44,101.617,328.9,2.3,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,292.7,111.8,Kota Dumai,RIAU
1.45,101.64,310.9,2.4,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,27,5.1,291.7,31.8,Kota Dumai,RIAU
1.453,101.619,333.4,2.3,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,292.2,132.2,Kota Dumai,RIAU
1.463,101.642,312.6,2.4,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,69,5.1,292.2,39.5,Kota Dumai,RIAU
1.467,101.621,311,2.3,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,45,5.1,292,35.2,Kota Dumai,RIAU
1.437,101.622,316.1,2.3,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,45,5.1,292.5,51.6,Kota Dumai,RIAU
