LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
-0.132,102.325,318.4,2.5,1.5,"PyQt4.QtCore.QDate(2014, 3, 20)",619,A,48,5.1,291.6,51.2,Pelalawan,RIAU
0.45,103.053,337.9,1.3,1.1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,84,5.1,305.7,55.6,Pelalawan,RIAU
0.44,103.054,337.4,1.3,1.1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,0,5.1,306,51.7,Pelalawan,RIAU
0.349,102.789,334.8,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,50,5.1,308,37.5,Pelalawan,RIAU
0.326,103.054,326.8,1.3,1.1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,31,5.1,306,16.8,Pelalawan,RIAU
0.3,103.006,332.5,1.3,1.1,"PyQt4.QtCore.QDate(2014, 3, 14)",656,A,30,5.1,309.3,26,Pelalawan,RIAU
0.23,102.702,311.3,1.7,1.3,"PyQt4.QtCore.QDate(2014, 3, 14)",358,T,43,5.1,295.8,15.5,Pelalawan,RIAU
0.353,102.795,318.2,1.7,1.3,"PyQt4.QtCore.QDate(2014, 3, 14)",358,T,24,5.1,297.5,28,Pelalawan,RIAU
0.355,102.779,319.7,1.7,1.3,"PyQt4.QtCore.QDate(2014, 3, 14)",358,T,37,5.1,297.7,32.2,Pelalawan,RIAU
0.442,103.054,328.3,1.8,1.3,"PyQt4.QtCore.QDate(2014, 3, 14)",358,T,57,5.1,298.1,61.6,Pelalawan,RIAU
0.191,102.276,313.6,4.3,1.9,"PyQt4.QtCore.QDate(2014, 3, 3)",1501,T,83,5.1,288.3,128.7,Pelalawan,RIAU
0.197,102.314,306.6,4.3,1.9,"PyQt4.QtCore.QDate(2014, 3, 3)",1501,T,47,5.1,288.3,71.3,Pelalawan,RIAU
0.174,102.279,316.7,4.3,1.9,"PyQt4.QtCore.QDate(2014, 3, 3)",1501,T,91,5.1,288.2,157.9,Pelalawan,RIAU
0.18,102.316,308.8,4.3,1.9,"PyQt4.QtCore.QDate(2014, 3, 3)",1501,T,63,5.1,288.3,89.6,Pelalawan,RIAU
0.189,102.281,326.3,4.3,1.9,"PyQt4.QtCore.QDate(2014, 3, 3)",1501,T,100,5.1,288.4,254.3,Pelalawan,RIAU
0.194,102.319,308,4.3,1.9,"PyQt4.QtCore.QDate(2014, 3, 3)",1501,T,58,5.1,288.2,81.8,Pelalawan,RIAU
0.118,101.56,313.7,3.3,1.7,"PyQt4.QtCore.QDate(2014, 3, 3)",417,T,55,5.1,293.8,49.6,Pelalawan,RIAU
0.234,102.898,307,1,1,"PyQt4.QtCore.QDate(2014, 2, 16)",1840,A,51,5.1,292.6,10,Pelalawan,RIAU
0.327,103.14,329.2,1,1,"PyQt4.QtCore.QDate(2014, 2, 16)",1840,A,92,5.1,299,34,Pelalawan,RIAU
0.338,103.123,308,1,1,"PyQt4.QtCore.QDate(2014, 2, 16)",1840,A,20,5.1,294.8,9.1,Pelalawan,RIAU
0.188,102.293,315.5,1.7,1.3,"PyQt4.QtCore.QDate(2014, 3, 6)",1828,A,88,5.1,293.6,40.2,Pelalawan,RIAU
0.259,101.801,326.2,1.8,1.3,"PyQt4.QtCore.QDate(2014, 3, 6)",1828,A,100,5.1,293.7,75.7,Pelalawan,RIAU
0.353,102.873,308.5,1.5,1.2,"PyQt4.QtCore.QDate(2014, 3, 6)",1828,A,61,5.1,294.4,20.2,Pelalawan,RIAU
0.356,102.88,313.4,1.5,1.2,"PyQt4.QtCore.QDate(2014, 3, 6)",1828,A,82,5.1,294.2,28.8,Pelalawan,RIAU
0.263,101.793,331.9,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,100,5.1,296,51,Pelalawan,RIAU
0.265,101.804,319.3,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,98,5.1,294.4,28.7,Pelalawan,RIAU
0.253,101.794,328.2,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,100,5.1,296.2,44,Pelalawan,RIAU
0.255,101.805,312.2,1.2,1.1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,78,5.1,294.8,18.8,Pelalawan,RIAU
0.388,102.904,307.6,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 6)",1531,T,55,5.1,294.5,10.1,Pelalawan,RIAU
