LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
1.381,101.39,321.8,1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1846,A,100,5.1,294.1,26.6,Rokan Hilir,RIAU
1.377,101.38,323.1,2.1,1.4,"PyQt4.QtCore.QDate(2014, 3, 27)",626,A,67,5.1,295.8,44,Rokan Hilir,RIAU
1.384,101.382,312.2,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 27)",1550,T,78,5.1,294.1,14.8,Rokan Hilir,RIAU
1.386,101.384,308.1,1.1,1,"PyQt4.QtCore.QDate(2014, 3, 11)",1550,T,58,5.1,292.9,12.1,Rokan Hilir,RIAU
1.382,101.373,325.9,1,1,"PyQt4.QtCore.QDate(2014, 2, 28)",346,T,79,5.1,299.8,20.6,Rokan Hilir,RIAU
1.388,101.379,310.1,1,1,"PyQt4.QtCore.QDate(2014, 2, 23)",1846,A,69,5.1,292.8,13.4,Rokan Hilir,RIAU
1.382,101.364,306,1.1,1,"PyQt4.QtCore.QDate(2014, 2, 23)",1550,T,40,5.1,293,9.5,Rokan Hilir,RIAU
1.383,101.373,307.9,1.1,1,"PyQt4.QtCore.QDate(2014, 2, 23)",1550,T,57,5.1,293.2,11.2,Rokan Hilir,RIAU
1.385,101.383,325.2,1.1,1,"PyQt4.QtCore.QDate(2014, 2, 23)",1550,T,100,5.1,294.8,32.6,Rokan Hilir,RIAU
1.382,101.369,306.2,1.6,1.2,"PyQt4.QtCore.QDate(2014, 2, 27)",1526,T,43,5.1,291.9,17.8,Rokan Hilir,RIAU
1.381,101.376,306.1,1.6,1.2,"PyQt4.QtCore.QDate(2014, 2, 27)",1526,T,42,5.1,292,16.6,Rokan Hilir,RIAU
1.381,101.389,331.6,2.2,1.4,"PyQt4.QtCore.QDate(2014, 7, 25)",714,A,82,5.1,300.8,73.2,Rokan Hilir,RIAU
