LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,NAMA_KAB,NAMA_PROP
0.651,102.109,305.5,2.7,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,31,5.1,291.4,31.6,Siak,RIAU
0.66,102.092,308.6,2.6,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,62,5.1,291.6,43.3,Siak,RIAU
0.733,102.078,307.2,2.6,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,52,5.1,291.4,36.5,Siak,RIAU
0.684,102.623,308.7,2.9,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,62,5.1,291.5,48.2,Siak,RIAU
0.687,102.597,359.6,2.9,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,296.3,448.5,Siak,RIAU
0.691,102.571,379,2.9,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,295,735.9,Siak,RIAU
0.695,102.546,324,2.9,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,292.7,122.6,Siak,RIAU
0.758,102.106,308.2,2.6,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,55,5.1,291.8,38.1,Siak,RIAU
0.794,101.854,308,2.5,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,12,5.1,292.1,30.6,Siak,RIAU
0.789,101.838,308,2.5,1.5,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,20,5.1,291.9,31.4,Siak,RIAU
0.688,102.604,354.3,2.9,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,294.9,385.9,Siak,RIAU
0.692,102.579,404.1,2.9,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,297.4,1317,Siak,RIAU
0.696,102.553,343,2.9,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,292.8,261.5,Siak,RIAU
0.7,102.528,310.8,2.9,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,72,5.1,291.9,52.2,Siak,RIAU
0.699,102.632,326.2,2.9,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,292.2,141.7,Siak,RIAU
0.703,102.606,352.6,2.9,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,295.2,365.3,Siak,RIAU
0.706,102.581,368.4,2.9,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,297,560.7,Siak,RIAU
0.71,102.555,331.4,2.9,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,100,5.1,292.7,165.7,Siak,RIAU
0.772,102.139,317.8,2.7,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,94,5.1,292.1,80.8,Siak,RIAU
0.776,102.116,310.7,2.6,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,72,5.1,291.7,49.2,Siak,RIAU
0.717,102.608,318.1,2.9,1.6,"PyQt4.QtCore.QDate(2014, 3, 14)",1917,A,95,5.1,291.7,94,Siak,RIAU
